date,daily_return,close_price,news_date,avg_sentiment,article_count,avg_subjectivity,forward_filled
2019-05-16,1.2686811097889938,58.54834365844727,2019-05-16,0.1875,2,0.25,False
2019-05-17,-1.4147942901325261,57.72000503540039,2019-05-17,0.0,3,0.08333333333333333,False
2019-05-20,-2.0175464162766166,56.555477142333984,2019-05-20,0.0625,2,0.4375,False
2019-05-21,0.9465603565273373,57.0908088684082,2019-05-21,0.0,3,0.0,False
2019-05-22,0.15570613228788055,57.17970275878906,2019-05-22,0.0,5,0.0,False
2019-05-23,-0.9249388030781347,56.65082550048828,2019-05-23,-0.06666666666666667,3,0.07111111111111111,False
2019-05-24,-0.6399238175991195,56.28830337524414,2019-05-24,0.0,1,0.0,False
2019-05-28,0.05999061646999593,56.32207107543945,2019-05-28,0.0,1,0.0,False
2019-05-29,-1.5597555567942623,55.44358444213867,2019-05-29,0.0,3,0.0,False
2019-05-30,0.13345761030034708,55.517578125,2019-05-30,0.0,1,0.0,False
2019-05-31,-1.2809133135444184,54.80644607543945,2019-05-31,0.08333333333333334,2,0.4,False
2019-06-03,-6.107120109365926,51.4593505859375,2019-06-02,0.0,1,0.0,True
2019-06-03,-6.107120109365926,51.4593505859375,2019-06-03,-0.028240740740740743,12,0.2164351851851852,False
2019-06-04,1.6231867727817262,52.29463195800781,2019-06-04,-0.1875,1,0.5,False
2019-06-05,-1.028432697310122,51.75681686401367,2019-06-05,0.20833333333333331,2,0.3,False
2019-06-06,0.203401613194365,51.862091064453125,2019-06-06,-0.1,4,0.1,False
2019-06-07,2.0778743533811816,52.939720153808594,2019-06-07,0.15163636363636362,5,0.24345454545454545,False
2019-06-10,1.345167075832454,53.65184783935547,2019-06-10,-0.03537037037037037,6,0.21453703703703705,False
2019-06-11,-0.15365625962084906,53.56940841674805,2019-06-11,0.013888888888888888,6,0.041666666666666664,False
2019-06-12,-0.15666280872631555,53.4854850769043,2019-06-12,0.0,1,0.0,False
2019-06-13,1.090029961702177,54.0684928894043,2019-06-13,-0.021296296296296296,4,0.07407407407407407,False
2019-06-14,-0.3141021936990285,53.89866256713867,2019-06-14,0.0,1,0.0,False
2019-06-17,0.6587628990748495,54.25372695922852,2019-06-17,0.044444444444444446,3,0.1111111111111111,False
2019-06-18,1.0160178857285151,54.804954528808594,2019-06-18,0.12407407407407407,6,0.3314814814814815,False
2019-06-19,-0.11507093790610323,54.74188995361328,2019-06-19,0.225,2,0.42500000000000004,False
2019-06-20,0.8246193204331176,55.193302154541016,2019-06-20,0.07592592592592592,3,0.1703703703703704,False
2019-06-21,0.9411350502429805,55.71274566650391,2019-06-21,-0.020833333333333332,3,0.4458333333333333,False
2019-06-24,-0.5669109842392661,55.39690399169922,2019-06-24,-0.06212121212121213,4,0.30577651515151516,False
2019-06-25,-2.6149214231736995,53.94831848144531,2019-06-25,0.11666666666666665,3,0.18333333333333335,False
2019-06-26,-0.6029389428596432,53.623043060302734,2019-06-26,0.08333333333333333,6,0.26944444444444443,False
2019-06-27,-0.35099341187521116,53.43482971191406,2019-06-27,-0.09545454545454546,2,0.36250000000000004,False
2019-07-01,1.5764447201808585,54.524375915527344,2019-07-01,-0.0125,2,0.05,False
2019-07-08,-1.3467705136171793,55.4381217956543,2019-07-08,0.0,1,0.0,False
2019-07-09,0.7596211348819937,55.8592414855957,2019-07-09,-0.03333333333333333,3,0.03333333333333333,False
2019-07-11,0.3270649752604937,56.8216552734375,2019-07-11,0.07117003367003367,5,0.2880976430976431,False
2019-07-12,0.060306982209867854,56.85592269897461,2019-07-12,0.004166666666666667,2,0.04583333333333334,False
2019-07-15,0.47514032564393016,57.126068115234375,2019-07-15,0.010416666666666666,2,0.4166666666666667,False
2019-07-16,0.28166463398020536,57.28697204589844,2019-07-16,0.24395833333333333,2,0.5083333333333333,False
2019-07-17,-0.6267448051717972,56.92792892456055,2019-07-17,0.15486111111111112,5,0.2677777777777778,False
2019-07-18,-0.0017489411702431568,56.92693328857422,2019-07-18,0.0,2,0.0,False
2019-07-19,-1.415816092336064,56.12095260620117,2019-07-19,0.08055555555555556,3,0.34722222222222215,False
2019-07-22,0.7052380029569427,56.51673889160156,2019-07-21,0.0,1,0.0,True
2019-07-22,0.7052380029569427,56.51673889160156,2019-07-22,-0.03333333333333333,3,0.6333333333333333,False
2019-07-23,0.7152497609939523,56.92097473144531,2019-07-23,0.06828703703703703,3,0.45324074074074067,False
2019-07-24,-0.7328489671140082,56.50382995605469,2019-07-24,-0.1875,2,0.3125,False
2019-07-25,-0.5000830399928713,56.22126388549805,2019-07-25,0.006666666666666667,15,0.17666666666666667,False
2019-07-26,10.448541182503778,62.09556579589844,2019-07-26,0.07166666666666667,15,0.15833333333333333,False
2019-07-29,-0.8797098902935119,61.5493049621582,2019-07-27,0.0,3,0.3333333333333333,True
2019-07-29,-0.8797098902935119,61.5493049621582,2019-07-28,0.359375,2,0.484375,True
2019-07-29,-0.8797098902935119,61.5493049621582,2019-07-29,0.02784090909090909,4,0.13863636363636364,False
2019-07-30,-1.1513636286727413,60.84064865112305,2019-07-30,0.13333333333333333,6,0.15,False
2019-07-31,-0.6905318455169396,60.42052459716797,2019-07-31,0.0875,4,0.1375,False
2019-08-01,-0.630404502137083,60.03963088989258,2019-08-01,0.1,2,0.1,False
2019-08-02,-1.242332039670302,59.293739318847656,2019-08-02,0.25,2,0.25,False
2019-08-05,-3.4899866169120997,57.224395751953125,2019-08-05,0.075,1,0.025,False
2019-08-06,1.529974737738038,58.09991455078125,2019-08-06,0.041666666666666664,3,0.225,False
2019-08-07,0.3452995506923351,58.30053329467773,2019-08-07,0.11666666666666665,3,0.18333333333333335,False
2019-08-08,2.624383020891985,59.830562591552734,2019-08-08,0.06919191919191918,3,0.1898989898989899,False
2019-08-09,-1.3935851332896765,58.99677276611328,2019-08-09,-0.13333333333333333,3,0.3,False
2019-08-12,-1.1195197098085141,58.3362922668457,2019-08-11,-0.25,1,0.3,True
2019-08-13,1.9204696887868522,59.45662307739258,2019-08-13,0.016517857142857143,4,0.19821428571428573,False
2019-08-14,-2.7545911295744574,57.8188362121582,2019-08-14,0.13636363636363635,1,0.45454545454545453,False
2019-08-15,0.2550857990978539,57.96632385253906,2019-08-15,0.05,2,0.07500000000000001,False
2019-08-16,0.885826642108567,58.47980499267578,2019-08-16,0.03125,2,0.175,False
2019-08-19,1.770552500207101,59.51522064208984,2019-08-19,-0.005370370370370364,5,0.17092592592592593,False
2019-08-21,0.7237864559436868,59.15767288208008,2019-08-21,0.0,1,0.0,False
2019-08-22,-0.14438513604967396,59.07225799560547,2019-08-22,0.2125,4,0.36250000000000004,False
2019-08-23,-3.2147234065965757,57.173248291015625,2019-08-23,0.13333333333333333,2,0.26666666666666666,False
2019-08-26,1.5287212969847586,58.04726791381836,2019-08-26,0.08169642857142857,4,0.4732142857142857,False
2019-08-27,-0.08983525580998908,57.99512100219727,2019-08-27,-0.2,2,0.275,False
2019-08-28,0.27230021193740406,58.15304183959961,2019-08-28,0.056818181818181816,4,0.13636363636363635,False
2019-08-30,-0.39821215704617385,59.00123596191406,2019-08-30,0.0234375,4,0.1484375,False
2019-09-03,-1.6589512259145733,58.02243423461914,2019-09-03,0.29659090909090907,2,0.48863636363636365,False
2019-09-04,1.1143550529436386,58.66901016235352,2019-09-04,0.022727272727272724,6,0.16742424242424245,False
2019-09-05,2.536800225803715,60.157325744628906,2019-09-05,0.021875,4,0.175,False
2019-09-06,-0.5324516695812909,59.83701705932617,2019-09-06,0.005397727272727273,8,0.10965909090909091,False
2019-09-09,-0.04315973916727556,59.81119155883789,2019-09-09,0.08214285714285714,7,0.35000000000000003,False
2019-09-12,1.1539500299352135,61.29305648803711,2019-09-12,0.1076388888888889,6,0.23958333333333334,False
2019-09-13,0.4302134101238586,61.55674743652344,2019-09-13,0.0,1,0.0,False
2019-09-16,-0.6663616895911773,61.14655685424805,2019-09-15,0.0,1,0.0,True
2019-09-16,-0.6663616895911773,61.14655685424805,2019-09-16,0.0,1,0.5,False
2019-09-19,0.5111990074081474,61.51454544067383,2019-09-19,0.0,2,0.0,False
2019-09-20,-0.7088202046067082,61.07851791381836,2019-09-20,0.0,1,0.0,False
2019-09-23,0.33335692074261125,61.28212738037109,2019-09-23,0.029999999999999992,5,0.21000000000000002,False
2019-09-24,-1.2374054933468437,60.52381896972656,2019-09-24,0.16666666666666666,3,0.13333333333333333,False
2019-09-25,2.277732271537869,61.90238952636719,2019-09-25,0.1,2,0.1,False
2019-09-26,-0.41155235546922464,61.64762878417969,2019-09-26,0.5071428571428571,1,0.7142857142857143,False
2019-09-30,-0.49711061236257237,60.53573989868164,2019-09-29,0.0,1,0.0,True
2019-09-30,-0.49711061236257237,60.53573989868164,2019-09-30,0.08333333333333333,3,0.19999999999999998,False
2019-10-02,-2.362461300358931,58.431640625,2019-10-02,0.03571428571428571,6,0.07142857142857142,False
2019-10-03,0.9518587362536302,58.98782730102539,2019-10-03,0.35,1,0.55,False
2019-10-04,1.7822451280628648,60.03913497924805,2019-10-04,-0.05,2,0.05,False
2019-10-07,-0.10918171595103443,59.97358322143555,2019-10-07,0.0,2,0.0,False
2019-10-08,-1.5359965499947004,59.052391052246094,2019-10-08,0.0,2,0.0,False
2019-10-09,1.1083750047641505,59.706912994384766,2019-10-09,0.016666666666666666,2,0.03333333333333333,False
2019-10-10,0.5289676100698637,60.022743225097656,2019-10-10,0.1,1,0.9,False
2019-10-11,0.5609484116598784,60.35943984985352,2019-10-11,0.0,2,0.0,False
2019-10-14,0.13904561531681292,60.44336700439453,2019-10-14,0.5,1,0.5,False
2019-10-15,2.125483421570107,61.72808074951172,2019-10-15,0.060876623376623376,8,0.2689935064935065,False
2019-10-16,0.050674696504904304,61.75936126708984,2019-10-16,-0.09166666666666667,2,0.2791666666666667,False
2019-10-17,0.7582653967184161,62.2276611328125,2019-10-17,0.0,1,0.06666666666666667,False
2019-10-18,-0.604918600385651,61.85123443603516,2019-10-18,0.0,1,0.0,False
2019-10-21,0.052997638450391626,61.88401412963867,2019-10-21,0.03409090909090909,4,0.11363636363636363,False
2019-10-22,-0.2688361113742821,61.71764755249024,2019-10-22,0.048065476190476186,3,0.1523809523809524,False
2019-10-23,1.3139759530168549,62.528602600097656,2019-10-23,0.06875,4,0.125,False
2019-10-24,0.14772292318858682,62.6209716796875,2019-10-24,0.0,1,0.0,False
2019-10-25,0.3283013249745226,62.82655715942383,2019-10-25,-0.06666666666666667,3,0.3,False
2019-10-28,1.9657969939169684,64.06159973144531,2019-10-28,0.03158068783068783,18,0.238260582010582,False
2019-10-29,-2.122463373032346,62.7019157409668,2019-10-29,0.10285714285714286,15,0.1711904761904762,False
2019-10-30,-0.10534813341980254,62.635860443115234,2019-10-30,0.15357142857142858,2,0.26071428571428573,False
2019-10-31,-0.09354056109110997,62.5772705078125,2019-10-31,0.13333333333333336,2,0.43333333333333335,False
2019-11-01,1.0816522248860316,63.2541389465332,2019-11-01,-0.05,4,0.1,False
2019-11-04,1.3840987165785856,64.129638671875,2019-11-04,0.0,1,0.0,False
2019-11-05,0.05112068145045612,64.16242218017578,2019-11-05,0.3111111111111111,3,0.41111111111111115,False
2019-11-06,-0.01780045582009393,64.1510009765625,2019-11-06,0.125,4,0.23333333333333334,False
2019-11-07,1.3206317492031827,64.99819946289062,2019-11-07,0.16499999999999998,5,0.26,False
2019-11-08,0.1917613402940388,65.12284088134766,2019-11-08,0.0,1,0.1,False
2019-11-11,-0.9287843725137801,64.51799011230469,2019-11-11,0.012121212121212116,6,0.40151515151515155,False
2019-11-12,-0.0300242346066959,64.49861907958984,2019-11-12,0.0,1,0.0,False
2019-11-13,-0.06159241529682946,64.45889282226562,2019-11-13,0.09177489177489177,6,0.1995670995670996,False
2019-11-14,1.0369810656148726,65.1273193359375,2019-11-14,0.09242424242424241,4,0.2803030303030303,False
2019-11-15,1.78503316633023,66.28986358642578,2019-11-15,0.02727272727272727,5,0.18,False
2019-11-18,-1.0615342031559227,65.58617401123047,2019-11-18,0.17083333333333334,4,0.22083333333333333,False
2019-11-19,-0.3967539854250135,65.32595825195312,2019-11-19,0.06666666666666668,2,0.32499999999999996,False
2019-11-20,-0.9434032778644852,64.70967102050781,2019-11-20,0.21428571428571427,1,0.6428571428571429,False
2019-11-21,-0.13045847576867997,64.62525177001953,2019-11-21,0.0,3,0.03333333333333333,False
