stock,date,avg_sentiment,sentiment_std,article_count,avg_subjectivity,news_date,forward_filled
AMZN,2020-05-18,0.018750000000000003,0.029315098498896443,6,0.16666666666666666,2020-05-18,False
AMZN,2020-05-19,0.04068462401795735,0.07883057827850559,6,0.13911335578002246,2020-05-19,False
AMZN,2020-05-20,-0.011038961038961046,0.1748809168841313,9,0.25897065897065896,2020-05-20,False
AMZN,2020-05-21,0.10540724707391375,0.1922287895049224,9,0.3179212762546096,2020-05-21,False
AMZN,2020-05-22,-0.15611111111111112,0.14829795666366172,5,0.35277777777777775,2020-05-22,False
AMZN,2020-05-26,0.5,0.0,1,0.5,2020-05-23,True
AMZN,2020-05-26,0.10714285714285714,0.190481150729065,7,0.25148809523809523,2020-05-26,False
AMZN,2020-05-27,-0.09083333333333334,0.2164689268608691,10,0.18291666666666667,2020-05-27,False
AMZN,2020-05-28,0.16805555555555557,0.23571862803974206,4,0.22361111111111112,2020-05-28,False
AMZN,2020-05-29,0.0,0.08164965809277261,4,0.025,2020-05-29,False
AMZN,2020-06-01,0.5,0.0,1,0.5,2020-05-30,True
AMZN,2020-06-01,-0.15277777777777776,0.196908984427192,3,0.23611111111111108,2020-05-31,True
AMZN,2020-06-01,0.02603305785123967,0.2071703829619291,11,0.22011019283746558,2020-06-01,False
AMZN,2020-06-02,0.09375,0.27716947282604315,4,0.24375,2020-06-02,False
AMZN,2020-06-09,-0.020833333333333336,0.13819269959814168,4,0.3520833333333333,2020-06-09,False
AMZN,2020-06-10,0.20479797979797978,0.22019362183966062,6,0.3426767676767677,2020-06-10,False
GOOG,2018-11-13,0.0,0.0,2,0.0,2018-11-13,False
GOOG,2018-11-14,0.056818181818181816,0.08035304331665312,2,0.31136363636363634,2018-11-14,False
GOOG,2018-11-15,0.10902777777777778,0.21805555555555556,4,0.15868055555555555,2018-11-15,False
GOOG,2018-11-16,-0.19,0.43840620433565947,2,0.7372222222222222,2018-11-16,False
GOOG,2018-11-19,0.5,0.0,1,0.5,2018-11-17,True
GOOG,2018-11-19,0.0,0.0,1,0.0,2018-11-19,False
GOOG,2018-11-20,0.5,0.7071067811865476,2,0.15,2018-11-20,False
GOOG,2018-11-21,0.0,0.0,1,0.25,2018-11-21,False
GOOG,2018-11-26,0.09722222222222222,0.24414438654509646,3,0.4055555555555556,2018-11-26,False
GOOG,2018-11-27,0.11166666666666666,0.18778681766537525,5,0.20500000000000002,2018-11-27,False
GOOG,2018-11-28,0.03333333333333333,0.0,1,0.06666666666666667,2018-11-28,False
GOOG,2018-11-29,0.0,0.0,1,0.0,2018-11-29,False
GOOG,2018-11-30,0.0,0.0,1,0.0,2018-11-30,False
GOOG,2018-12-03,0.0,0.0,1,0.0,2018-12-03,False
GOOG,2018-12-06,0.13636363636363635,0.0,1,0.45454545454545453,2018-12-05,True
GOOG,2018-12-06,0.0,0.0,1,0.0,2018-12-06,False
GOOG,2018-12-07,-0.4,0.0,1,0.7,2018-12-07,False
GOOG,2018-12-10,0.35,0.35355339059327373,2,0.375,2018-12-10,False
GOOG,2018-12-11,0.0,0.0,3,0.13333333333333333,2018-12-11,False
GOOG,2018-12-12,0.0,0.0,1,0.0,2018-12-12,False
GOOG,2018-12-13,0.4,0.0,1,0.5,2018-12-13,False
GOOG,2018-12-17,0.0,0.0,1,0.0,2018-12-15,True
GOOG,2018-12-17,0.033333333333333326,0.04714045207910316,2,0.25,2018-12-17,False
GOOG,2018-12-20,0.0,0.0,1,1.0,2018-12-20,False
GOOG,2018-12-24,-0.4305555555555556,0.0,1,0.5472222222222222,2018-12-24,False
GOOG,2018-12-26,0.0,0.0,1,0.1,2018-12-26,False
GOOG,2018-12-27,0.2555555555555556,0.36717136981907345,3,0.5222222222222223,2018-12-27,False
GOOG,2018-12-28,0.0,0.0,1,0.0,2018-12-28,False
GOOG,2019-01-02,-0.375,0.0,1,0.625,2019-01-02,False
GOOG,2019-01-03,-0.03333333333333333,0.05773502691896258,3,0.13333333333333333,2019-01-03,False
GOOG,2019-01-04,0.1590909090909091,0.2361887464866651,4,0.21363636363636365,2019-01-04,False
GOOG,2019-01-07,0.2714285714285714,0.3040542379113252,3,0.44761904761904764,2019-01-07,False
GOOG,2019-01-10,0.05,0.33166247903553997,4,0.2666666666666667,2019-01-10,False
GOOG,2019-01-14,0.1902777777777778,0.17322735364076516,4,0.36388888888888893,2019-01-14,False
GOOG,2019-01-15,0.0,0.0,2,0.0,2019-01-15,False
GOOG,2019-01-16,-0.13333333333333333,0.0,1,0.26666666666666666,2019-01-16,False
GOOG,2019-01-17,0.10416666666666667,0.1473139127471974,2,0.125,2019-01-17,False
